"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","num_CIs","min_pub_date","max_pub_date"
"Braunschweig",0.671428571428571,0.657142857142857,0.6,0.557142857142857,0.457142857142857,0.314285714285714,0.185714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,"2020-11-17","2021-05-01"
"epiforecasts",NA,0.206896551724138,0.241379310344828,0.241379310344828,0.241379310344828,0.241379310344828,0.241379310344828,0.241379310344828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2021-04-01","2021-05-01"
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"globalrt_7d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKI_4day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKI_7day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rtlive",0.570552147239264,0.582822085889571,0.576687116564417,0.56441717791411,0.533742331288344,0.521472392638037,0.52760736196319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,"2020-11-16","2021-05-01"
"SDSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
