"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","num_est"
"Braunschweig",NA,NA,NA,0.00765599545123949,0.0066540105289311,0.00590124611594632,0.0052360422693126,0.00460600590925648,0.00422624985380015,0.00395840351108924,0.00370630473880123,0.00368197869444687,0.00385263246570343,0.00404596700799264,0.00419098446799594,0.00424178630687304,0.00418265302881706,0.00398650081387327,0.00371128121445477,0.00339090323568097,0.00312269156407409,0.0028790748718808,0.00263634791692,0.00266833805594177,0.00280174383447177,0.00278077866983567,0.0028609937241877,0.00303114498465241,0.00301212035949986,0.00297999678121005,0.00305659877192794,0.00312183493656753,0.00319540067819356,0.00327160155480234,0.00337360910050811,0.00340399734818514,0.00343449303299266,0.00343002435242336,0.00347568916895839,0.0035605898639959,90
"epiforecasts",0.147269328284065,0.142362146609981,0.134680076002929,0.125555707921835,0.116483495838335,0.106680704774461,0.0960924573282187,0.0860494986638168,0.0766881106128423,0.0672683444320571,0.0586847515944964,0.0503651509492978,0.0422804015244383,0.036180506547166,0.031805843979758,0.0289081107357961,0.027096068217627,0.0262088852273022,0.0260914907914684,0.0264458543945446,0.0269726224198285,0.0271933975042529,0.0278161201905862,0.0279337835645302,0.0282641350337023,0.0282943993511972,0.0289441399948673,0.0298158155402466,0.0310254814057375,0.0324053321110828,0.0345362094042865,0.0361983377824377,0.0380676401206658,0.0401435863114919,0.0427675473742686,0.0466104944446978,0.0505945766360913,0.0548941863252816,0.0590731302204791,0.0629697738462013,202
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0779535959367865,0.0624011961957201,0.04919893488787,0.0400895799536108,0.0335114039196593,0.027585019635701,0.0228448081061148,0.0201102431754296,0.0192224444021117,0.0186192378344852,0.0178195850280529,0.0169167992125661,0.01573316936919,0.0146026133517884,0.0135799610816275,0.0130205482957385,0.0126242019346125,0.0124313477269659,0.0124358762327044,0.0125520422451292,0.0127452515521168,0.0128026207740877,0.0127539992739037,0.012692035004511,0.0124706101600267,0.0124301848161077,266
"globalrt_7d",NA,NA,0.0769470464372359,0.0647303212983883,0.053682309244224,0.0439506555716756,0.0357400335614737,0.0297481968532132,0.0255265219120775,0.0230765309457678,0.0202578924925968,0.0168775498486498,0.0134077632645053,0.0101284015104728,0.00771709955670722,0.00777195832243507,0.00838037578732484,0.00778200466422707,0.00673849552823954,0.00579824956613837,0.00453803513876072,0.0038962474805194,0.00444956455485337,0.00501096949292927,0.00470535565294647,0.00424238242381071,0.00420657183552507,0.00419085267796926,0.00384491699088497,0.00398499528183062,0.0041470808463981,0.00416281554443531,0.00417784271715367,0.004366313110269,0.00436353536207994,0.00384825348133171,0.00402674223971632,0.0042079171011747,0.00437220168973559,0.00425700213405518,120
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,0.309210405785783,0.0511737390529677,0.0190328608281631,0.00940180597921974,0.00605690028986264,0.00442442550026406,0.00353256460634349,0.0031003496498988,0.00256769640455151,0.00231960962242589,0.00242155276978798,0.00216955270397364,0.0019162245146146,0.00178240514039502,0.00173756122087283,0.00166043813211609,0.00174014411032649,0.0016198956469869,0.00151144299088589,0.00164093865254805,0.0014420390409776,0.00154663052968751,0.00150735893466407,0.00144984399616648,0.00137972578320969,0.0014911961319633,0.00128329646005731,0.00123286236277077,0.00135575200985001,0.00112788321948988,0.00123135119612003,0.00119915113042951,238
"RKI_7day",NA,NA,NA,NA,NA,0.0534035087719298,0.0352631578947368,0.0231578947368421,0.0155438596491228,0.0117894736842105,0.00933333333333333,0.00726315789473684,0.006,0.00505263157894737,0.00410526315789474,0.00343859649122807,0.00287719298245614,0.00284210526315789,0.00284210526315789,0.00256140350877193,0.00231578947368421,0.00245614035087719,0.00221052631578947,0.00210526315789474,0.00203508771929824,0.00224561403508772,0.00203508771929825,0.00196491228070175,0.00189473684210526,0.00182456140350877,0.00207017543859649,0.00196491228070175,0.00175438596491228,0.00171929824561404,0.00175438596491228,0.0016140350877193,0.00164912280701754,0.00157894736842105,0.00150877192982456,0.00129824561403509,285
"rtlive",NA,NA,0.130037267080745,0.127012422360248,0.123894409937888,0.121037267080745,0.116726708074534,0.113714285714286,0.110316770186335,0.106782608695652,0.102993788819876,0.0993416149068323,0.095583850931677,0.0920683229813665,0.0882422360248447,0.08472049689441,0.0816832298136646,0.0784782608695652,0.0747950310559006,0.0716335403726708,0.0684472049689441,0.0650931677018634,0.0611863354037267,0.0583229813664596,0.0553105590062112,0.052055900621118,0.0491428571428571,0.0466149068322981,0.0442111801242236,0.0414223602484472,0.0396521739130435,0.0372360248447205,0.0347267080745342,0.0327639751552795,0.0304347826086957,0.0287142857142857,0.0267515527950311,0.0253229813664596,0.0234658385093168,0.0220621118012422,161
"SDSC",NA,0.120275475725734,0.116623803308077,0.111270226638591,0.10443471849002,0.0961935257762148,0.0869396196496913,0.0771516173377208,0.0666529887145662,0.0562154201564757,0.0465474677096861,0.038857522998778,0.0344751865908138,0.0325352061559735,0.0317638925619293,0.0315552072959902,0.0322018814922247,0.0329030529156658,0.0329106156766696,0.0329725587540486,0.0325838115454987,0.0322769146249215,0.031791235597601,0.0316737715635719,0.0314348087327755,0.0307422507719293,0.0293711053905606,0.0275048435437064,0.0256464423809845,0.0251652585123231,0.0256493422436774,0.0267447558873727,0.0280961501181193,0.0295095135265263,0.0303292776683188,0.0304726478752999,0.0294089153965062,0.0269855460472185,0.0232838715053435,0.0187498139369435,293
"ETH_old",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084303295658319,0.0718642237363052,0.0595964188052176,0.0489613152580945,0.0410450844727035,0.035282043515257,0.0316428082559712,0.0300570241537417,0.0286335448335938,0.0281764089063218,0.0286472418243275,0.0288694769147024,0.0279826130293447,0.0265993491613785,0.0250995024354171,0.0243524071262122,0.0232496220154642,0.0225422949433561,0.0229231291379915,0.0232913615086221,0.0235837263787543,0.0240252846530464,0.0243151363977917,0.0242799012499678,0.0235368035525558,0.0234070309468098,95
"ETH_new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0744259849803796,0.0571439586731728,0.0434225549337881,0.0351608381177864,0.0293260258346348,0.0233088952581698,0.0179570302450834,0.0145842537430339,0.0139940552735106,0.0133096983501316,0.0118042201412337,0.0102764227113792,0.0089279228913263,0.00793776012423835,0.00718021588507767,0.00672507116769756,0.00672119077858381,0.0068141548289713,0.00660962461865596,0.00658575376541086,0.00672387664842936,0.00656780750799954,0.00633114531618819,0.00625433153481274,0.00632272494195495,0.00633193696571772,171
